sample_index,conversation_id,customer_message,intent,expected_action,risk_level,sampling_group,reference_resolution,conversation_context,notes,dataset_heuristic_intent,dataset_heuristic_action,audit_status,reviewer_rationale_notes
1,conv_2151129,"Thanks for sending me an ""inspected"" used 3 ring binder..with a broken 3rd ring. Really nice.",DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,Apologies David - Check out what options are available to you here : http:[LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
2,conv_2762772,Worst service of amazon. Raise request 4 return of product but after a month still it is showing as pending. After doing multiple follow up still no reply from customer care people.,RETURN_EXCHANGE_INQUIRY,AUTO,LOW,common_support,I'm sorry about the experience with the return. Kindly share your details here: [LINK] we'll look into it and reach out to you soon.,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Customer requesting product return/exchange; mislabeled as DELIVERY_DELAY. Proposed action reflects resolution state. | Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
3,conv_2171339,"Props to for sending me a photo of where they'd (safely) left my parcel today. Order immediately located. Better than my neighbours finding my post in their compost bin, thanks to another (unnamed) delivery company! #goodservice #customerservicewin",GENERAL_INQUIRY_FEEDBACK,AUTO,MEDIUM,common_support,"That's exactly what we like to hear, Emma! Thanks so much for letting us know about this experience. Have a great night!",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Customer expression of praise/compliment misclassified by keyword matching as PACKAGE_DELIVERED_NOT_RECEIVED; proposed as GENERAL_INQUIRY_FEEDBACK (safe auto-handling). | Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
4,conv_2764392,not received 100 rs. Cashback on first recharge.,PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,Could you please confirm if you're referring to the offer here: [LINK],4-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
5,conv_1441435,if courier is not delivered to me than why I wait for refund. I am not returning product . So refund my money immediately [LINK],REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,"don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2)",5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
6,conv_2973832,. is claiming they can't mail me the missing ITEM from my delivery. Um. I ordered a two pack of something and you only sent one of them...how come you can't send me the missing one?,WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,"I'm sorry to hear about this! When you spoke with us before, what options or insight was provided?",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
7,conv_74846,How a delivery person cancel an order? Please rethink your shipment policy. Very disappointed today.,DELIVERY_DELAY,AUTO,LOW,common_support,Apologies for the unpleasant experience you had with our delivery associate. Please report this to our support team here: [LINK],7-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Customer reporting carrier cancellation of shipment attempt; classified under DELIVERY_DELAY logistics. | Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
8,conv_1031868,Hi my account has been suspended and i don't have a FAX or a Visa statement to prove my identity (i'm french),ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,"Hello, I answered to your other tweet (in french).",2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
9,conv_80588,"Every day for three days I've gotten ""your package is arriving today"" emails from for a Black Friday purchase and for my regular subscribe and save shipment.... Christmas is far enough away but Mama needs those diapers and wipes, people!",GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,rare_intent,"So sorry about the delay, Candice! Can you let us know who the carrier for the shipment is? [LINK]",8-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for GENERAL_INQUIRY_FEEDBACK; baseline expected action: AUTO.
10,conv_1557649,when are you processing pre ordered xbox one x? Mine had said shipping for yesterday but nothing happened.,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,I'm sorry for the poor experience! Have we missed the expected delivery date? We'd like to help!,15-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
