"cohort_id","conversation_id","sampling_group","customer_message","retrieved_precedent","agent_response","human_correctness","human_groundedness","human_relevance","human_helpfulness","human_safety","human_overall","human_notes","reviewer_name","reviewed_at","review_status"
"1","conv_1659702","ambiguous","[LINK] - Offer - [LINK] CC says I am eligible. Yet no CB. CC giving dates after date. Really fed up with #Amazon in CC. No info. - Never in lat few years felt like this.","Oh no, Jason! Have we missed a delivery date on a current order? Please let us know!","We apologize for the delivery delay. Carrier updates and revised delivery estimates can be reviewed via your tracking link: [LINK]. If your parcel does not arrive within the revised window, please contact support for further assistance.","1","2","1","2","4","2","Customer's issue is a missing cashback (CB) on a credit-card offer, not a delivery delay. Precedent and reply both address delivery/tracking, which is the wrong problem entirely.","Ansh","2026-09-11","HUMAN_VERIFIED"
"2","conv_315018","high_risk","ORDER #4__credit_card__ your services are the shit. You can never become the ""Earth's Most Customer-Centric Company""(4)","I'm sorry to hear you haven't received your items! Have you received anything from the order? Also, what options/insight were we able to provide when you chatted with us?","I'm sorry to hear you haven't received your items! Have you received anything from the order? Also, what options/insight were we able to provide when you chatted with us?","3","5","3","3","5","3","Message is a vague insulting rant with an order number; reply mirrors precedent exactly with a reasonable clarifying question. Safe but generic given how little the message actually says.","Ansh","2026-09-11","HUMAN_VERIFIED"
"3","conv_80588","rare_intent","Every day for three days I've gotten ""your package is arriving today"" emails from for a Black Friday purchase and for my regular subscribe and save shipment.... Christmas is far enough away but Mama needs those diapers and wipes, people!","I'm so sorry we haven't delivered your order yet, Vicki! Who was the seller, Amazon/third-party? If unsure, you can check here:[LINK] . Please keep us posted on this delivery!","I'm so sorry we haven't delivered your order yet, Vicki! Who was the seller, Amazon/third-party? If unsure, you can check here:[LINK] . Please keep us posted on this delivery!","4","5","4","4","5","4","Repeated 'arriving today' notifications without delivery matches the precedent's delayed-delivery framing; reply asks for seller info and gives a link, a sensible next step.","Ansh","2026-09-11","HUMAN_VERIFIED"
"4","conv_1124096","ambiguous","I forgot to mention gst number for a recent purchase, can i get a new bill with updated gst please. How to get one???","We currently include only seller's GST number on the invoice. If you're a business and purchasing business (1/3)","We currently include only seller's GST number on the invoice. If you're a business and purchasing business (1/3)","4","5","4","3","5","4","On-topic GST invoice reply, but it's clearly a truncated '(1/3)' fragment so the customer doesn't get the full instructions yet.","Ansh","2026-09-11","HUMAN_VERIFIED"
"5","conv_2578447","rare_intent","Hi guys, I've got an item I wish I return but I don't have the original packaging anymore, it got torn when I opened it, will this be a problem for returns if I repackage it myself?","We're here to help! You can use alternative packaging to return the item. Start the process here:[LINK]","We're here to help! You can use alternative packaging to return the item. Start the process here:[LINK]","5","5","5","5","5","5","Directly answers the repackaging question with a clear yes and a link to start the return.","Ansh","2026-09-11","HUMAN_VERIFIED"
"6","conv_2847324","ambiguous","I ordered and paid for a fan over a month ago, where is it please??? I'm overheating [LINK]","We'd like to help you with this. Please connect our support team here: [LINK]","We'd like to help you with this. Please connect our support team here: [LINK]","4","5","3","4","5","4","Generic 'connect with support' reply for an overdue fan order — safe and on-topic, but doesn't reference specifics of the order.","Ansh","2026-09-11","HUMAN_VERIFIED"
"7","conv_378460","common_support","It was very pathetic experience with Amazon. I have received the headset broken. I am very disappointed with Amazon. [LINK]","So sorry for any trouble, John! Have we missed the delivery date provided in your confirmation e-mail? If so, just let us know- we're here to help!","So sorry for any trouble, John! Have we missed the delivery date provided in your confirmation e-mail? If so, just let us know- we're here to help!","1","5","1","2","5","2","Customer reports a broken/damaged headset on arrival; reply (and the precedent it copies) asks about a missed delivery date, an unrelated issue.","Ansh","2026-09-11","HUMAN_VERIFIED"
"8","conv_420801","common_support","Now Amazon transportation service started making fool 2 customer. B4 delivered the product, updating wrong status.","Apologies for the unpleasant experience. Have you reported this to our support team here : [LINK] 1/2","Apologies for the unpleasant experience. Have you reported this to our support team here : [LINK] 1/2","4","5","4","4","5","4","Reasonable apology and request to confirm the issue was reported, matching the tracking-status complaint.","Ansh","2026-09-11","HUMAN_VERIFIED"
"9","conv_270641","common_support","please have some start checking your DCs and carriers(ontrac). Poor packaging. You could easily grab the contents and bad handling. [LINK]","all the products will be delivered to you without any inconvenience. 2/2","all the products will be delivered to you without any inconvenience. 2/2","2","5","2","2","3","2","Customer is warning about poor packaging/carrier handling; reply is a vague blanket assurance ('all products delivered without inconvenience') that doesn't engage with the complaint and edges toward an unsupported promise.","Ansh","2026-09-11","HUMAN_VERIFIED"
"10","conv_379145","common_support","wow I ordered smthng and it shows delivered. Best part haven't recieved or signed the same. #pathetic #amazonin","I'm sorry to know about the issue. Please reach out to us here: [LINK] we'd like to help.","I'm sorry to know about the issue. Please reach out to us here: [LINK] we'd like to help.","4","5","4","4","5","4","Appropriate apology and escalation link for a 'marked delivered but not received' complaint.","Ansh","2026-09-11","HUMAN_VERIFIED"
